iter	Passed	Remaining
0	4	420
1	8	410
2	12	404
3	15	378
4	20	388
5	24	385
6	28	383
7	33	381
8	37	377
9	41	373
10	45	368
11	50	370
12	54	366
13	59	362
14	63	359
15	67	356
16	71	351
17	79	364
18	84	359
19	88	355
20	93	350
21	97	345
22	101	339
23	106	336
24	110	330
25	113	324
26	119	324
27	124	320
28	128	314
29	133	312
30	138	308
31	142	303
32	147	298
33	151	293
34	155	288
35	159	283
36	163	278
37	166	271
38	169	264
39	171	257
40	173	249
41	174	241
42	176	234
43	178	227
44	180	220
45	181	213
46	183	207
47	185	200
48	186	194
49	188	188
50	189	182
51	191	176
52	192	170
53	193	165
54	194	159
55	196	154
56	197	148
57	198	143
58	199	138
59	200	133
60	201	128
61	202	124
62	203	119
63	205	115
64	206	111
65	207	106
66	208	102
67	209	98
68	210	94
69	211	90
70	212	86
71	214	83
72	215	79
73	216	76
74	217	72
75	218	69
76	219	65
77	220	62
78	222	59
79	223	55
80	224	52
81	225	49
82	226	46
83	227	43
84	228	40
85	229	37
86	230	34
87	232	31
88	233	28
89	234	26
90	235	23
91	236	20
92	237	17
93	238	15
94	240	12
95	241	10
96	242	7
97	243	4
98	244	2
99	245	0
