iter	Passed	Remaining
0	390	390144
1	618	308424
2	796	264835
3	884	220298
4	905	180180
5	973	161224
6	1131	160495
7	1204	149377
8	1275	140437
9	1345	133221
10	1411	126924
11	1482	122093
12	1546	117398
13	1612	113568
14	1675	110002
15	1739	106965
16	1823	105436
17	1888	103021
18	1946	100496
19	2015	98753
20	2076	96816
21	2141	95200
22	2188	92951
23	2248	91451
24	2303	89854
25	2361	88449
26	2417	87116
27	2472	85814
28	2544	85191
29	2606	84279
30	2662	83219
31	2723	82375
32	2783	81569
33	2878	81770
34	2949	81312
35	3023	80958
36	3103	80766
37	3176	80414
38	3251	80117
39	3305	79334
40	3360	78605
41	3417	77956
42	3475	77354
43	3531	76739
44	3604	76497
45	3657	75844
46	3716	75357
47	3785	75074
48	3852	74764
49	3936	74787
50	4009	74603
51	4095	74669
52	4161	74360
53	4207	73717
54	4267	73321
55	4317	72773
56	4365	72216
57	4417	71741
58	4470	71304
59	4521	70841
60	4576	70446
61	4636	70149
62	4685	69694
63	4737	69282
64	4786	68846
65	4836	68438
66	4883	67998
67	4937	67670
68	4998	67441
69	5071	67378
70	5153	67429
71	5274	67984
72	5410	68708
73	5500	68831
74	5589	68932
75	5663	68852
76	5732	68714
77	5784	68371
78	5839	68074
79	5909	67954
80	6017	68271
81	6157	68937
82	6259	69159
83	6326	68991
84	6428	69201
85	6496	69042
86	6588	69146
87	6702	69463
88	6799	69600
89	6878	69545
90	7006	69985
91	7118	70258
92	7184	70071
93	7230	69690
94	7294	69489
95	7381	69510
96	7473	69569
97	7555	69539
98	7650	69630
99	7740	69665
100	7985	71074
101	8287	72959
102	8527	74261
103	8960	77194
104	9171	78174
105	9363	78969
106	9464	78986
107	9555	78917
108	9616	78608
109	9685	78360
110	9751	78100
111	9809	77773
112	9895	77673
113	9962	77427
114	10043	77292
115	10222	77904
116	10402	78505
117	10501	78495
118	10599	78468
119	10735	78724
120	10848	78807
121	11051	79533
122	11369	81066
123	11616	82064
124	11746	82222
125	11948	82883
126	12066	82946
127	12239	83381
128	12362	83468
129	12453	83344
130	12517	83034
131	12593	82812
132	12767	83228
133	12991	83962
134	13083	83833
135	13146	83519
136	13197	83135
137	13278	82942
138	13346	82673
139	13441	82566
140	13535	82459
141	13634	82381
142	13707	82149
143	13759	81790
144	13814	81459
145	13867	81116
146	13922	80787
147	13986	80514
148	14062	80315
149	14191	80417
150	14279	80285
151	14432	80517
152	14535	80470
153	14699	80754
154	14809	80736
155	14906	80645
